step,t,d,C,side,digits,norm4
164,643019204706491713361137153911719938678609143657041,135968958,1286038409412983426722274307823439877357218423283041,d-1,51,0.15242
165,1286038409412983426722274307823439877357218423283041,66627216,2572076818825966853444548615646879754714436913193299,d+1,52,0.07285
166,2572076818825966853444548615646879754714436913193299,4819152,5144153637651933706889097231293759509428873831205751,both,52,0.00514
167,5144153637651933706889097231293759509428873831205751,28092276,10288307275303867413778194462587519018857747690503779,d+1,52,0.02924
168,10288307275303867413778194462587519018857747690503779,12990408,20576614550607734827556388925175038037715495393997967,d+1,53,0.01319
169,20576614550607734827556388925175038037715495393997967,36196284,41153229101215469655112777850350076075430990824192219,d-1,53,0.03588
170,41153229101215469655112777850350076075430990824192219,32401908,82306458202430939310225555700700152150861981680786347,d-1,53,0.03136
171,82306458202430939310225555700700152150861981680786347,190759962,164612916404861878620451111401400304301723963552332657,d+1,53,0.18022
172,164612916404861878620451111401400304301723963552332657,65812722,329225832809723757240902222802800608603447927170478037,d+1,54,0.06071
173,329225832809723757240902222802800608603447927170478037,300656262,658451665619447514481804445605601217206895854641612337,both,54,0.27084
174,658451665619447514481804445605601217206895854641612337,10445562,1316903331238895028963608891211202434413791709293670237,d+1,54,0.00919
175,1316903331238895028963608891211202434413791709293670237,39765582,2633806662477790057927217782422404868827583418627106057,d-1,55,0.03418
176,2633806662477790057927217782422404868827583418627106057,13096824,5267613324955580115854435564844809737655166837267308939,d-1,55,0.01100
177,5267613324955580115854435564844809737655166837267308939,22815450,10535226649911160231708871129689619475310333674557433329,d+1,55,0.01872
178,10535226649911160231708871129689619475310333674557433329,18172902,21070453299822320463417742259379238950620667349133039561,d-1,56,0.01457
179,21070453299822320463417742259379238950620667349133039561,13942548,42140906599644640926835484518758477901241334698280021671,d-1,56,0.01092
180,42140906599644640926835484518758477901241334698280021671,92109696,84281813199289281853670969037516955802482669396652153039,d+1,56,0.07053
181,84281813199289281853670969037516955802482669396652153039,52322592,168563626398578563707341938075033911604965338793356628671,d-1,56,0.03917
182,168563626398578563707341938075033911604965338793356628671,8031468,337127252797157127414683876150067823209930677586721288811,both,57,0.00588
183,337127252797157127414683876150067823209930677586721288811,319488,674254505594314254829367752300135646419861355173442897111,d+1,57,0.00023
184,674254505594314254829367752300135646419861355173442897111,157921608,1348509011188628509658735504600271292839722710347043715831,d-1,57,0.11051
185,1348509011188628509658735504600271292839722710347043715831,238355076,2697018022377257019317471009200542585679445420694325786739,d+1,58,0.16313
186,2697018022377257019317471009200542585679445420694325786739,71198070,5394036044754514038634942018401085171358890841388722771549,d-1,58,0.04766
187,5394036044754514038634942018401085171358890841388722771549,78748860,10788072089509028077269884036802170342717781682777524291959,d+1,58,0.05157
188,10788072089509028077269884036802170342717781682777524291959,44015682,21576144179018056154539768073604340685435563365555092599601,d+1,59,0.02820
189,21576144179018056154539768073604340685435563365555092599601,40387356,43152288358036112309079536147208681370871126731110225586559,d+1,59,0.02532
190,43152288358036112309079536147208681370871126731110225586559,90911730,86304576716072224618159072294417362741742253462220542084849,d-1,59,0.05578
191,86304576716072224618159072294417362741742253462220542084849,36810012,172609153432144449236318144588834725483484506924441120979711,d+1,59,0.02210
192,172609153432144449236318144588834725483484506924441120979711,33326898,345218306864288898472636289177669450966969013848882275286321,d-1,60,0.01959
193,345218306864288898472636289177669450966969013848882275286321,10354446,690436613728577796945272578355338901933938027697764560927089,d+1,60,0.00596
194,690436613728577796945272578355338901933938027697764560927089,51068928,1380873227457155593890545156710677803867876055395529172923107,d+1,60,0.02877
195,1380873227457155593890545156710677803867876055395529172923107,10159044,2761746454914311187781090313421355607735752110791058356005259,d-1,61,0.00560
196,2761746454914311187781090313421355607735752110791058356005259,121205640,5523492909828622375562180626842711215471504221582116833216159,d-1,61,0.06546
197,5523492909828622375562180626842711215471504221582116833216159,68778240,11046985819657244751124361253685422430943008443164233735210559,d-1,61,0.03638
198,11046985819657244751124361253685422430943008443164233735210559,60239358,22093971639314489502248722507370844861886016886328467530660477,d-1,62,0.03121
199,22093971639314489502248722507370844861886016886328467530660477,60939234,44187943278628979004497445014741689723772033772656935122260189,d-1,62,0.03092
200,44187943278628979004497445014741689723772033772656935122260189,75526560,88375886557257958008994890029483379447544067545313870320046939,d-1,62,0.03755
201,88375886557257958008994890029483379447544067545313870320046939,10991268,176751773114515916017989780058966758895088135090627740651085147,d+1,62,0.00535
202,176751773114515916017989780058966758895088135090627740651085147,2440224,353503546229031832035979560117933517790176270181255481304610519,d-1,63,0.00116
203,353503546229031832035979560117933517790176270181255481304610519,54536970,707007092458063664071959120235867035580352540362510962663758009,d+1,63,0.02550
204,707007092458063664071959120235867035580352540362510962663758009,67272480,1414014184916127328143918240471734071160705080725021925394788499,d+1,63,0.03083
205,1414014184916127328143918240471734071160705080725021925394788499,221932542,2828028369832254656287836480943468142321410161450043851011509541,d-1,64,0.09969
206,2828028369832254656287836480943468142321410161450043851011509541,166164678,5656056739664509312575672961886936284642820322900087702189183761,d+1,64,0.07317
207,5656056739664509312575672961886936284642820322900087702189183761,509976348,11312113479329018625151345923773872569285640645800175404888343871,d-1,64,0.22013
208,11312113479329018625151345923773872569285640645800175404888343871,140595816,22624226958658037250302691847547745138571281291600350809917283559,d+1,65,0.05950
209,22624226958658037250302691847547745138571281291600350809917283559,122281590,45248453917316074500605383695095490277142562583200701619956848709,d-1,65,0.05074
210,45248453917316074500605383695095490277142562583200701619956848709,14783460,90496907834632149001210767390190980554285125166401403239928480879,d-1,65,0.00602
211,90496907834632149001210767390190980554285125166401403239928480879,29433618,180993815669264298002421534780381961108570250332802806479886395377,both,65,0.01174
212,180993815669264298002421534780381961108570250332802806479886395377,20192154,361987631338528596004843069560763922217140500665605612959792982909,d-1,66,0.00790
213,361987631338528596004843069560763922217140500665605612959792982909,49219500,723975262677057192009686139121527844434281001331211225919635185319,d+1,66,0.01889
214,723975262677057192009686139121527844434281001331211225919635185319,43560912,1447950525354114384019372278243055688868562002662422451839313931551,d-1,66,0.01640
215,1447950525354114384019372278243055688868562002662422451839313931551,230793228,2895901050708228768038744556486111377737124005324844903678858656331,d+1,67,0.08526
216,2895901050708228768038744556486111377737124005324844903678858656331,45147228,5791802101416457536077489112972222755474248010649689807357762459891,d-1,67,0.01636
217,5791802101416457536077489112972222755474248010649689807357762459891,12127308,11583604202832915072154978225944445510948496021299379614715537047091,d+1,67,0.00431
218,11583604202832915072154978225944445510948496021299379614715537047091,41853036,23167208405665830144309956451888891021896992042598759229431115947219,d+1,68,0.01461
219,23167208405665830144309956451888891021896992042598759229431115947219,112190988,46334416811331660288619912903777782043793984085197518458862344085427,d+1,68,0.03842
220,46334416811331660288619912903777782043793984085197518458862344085427,21998322,92668833622663320577239825807555564087587968170395036917724710169177,d-1,68,0.00739
221,92668833622663320577239825807555564087587968170395036917724710169177,403277472,185337667245326641154479651615111128175175936340790073835449823615827,d-1,68,0.13304
222,185337667245326641154479651615111128175175936340790073835449823615827,37780452,370675334490653282308959303230222256350351872681580147670899685012107,both,69,0.01223
223,370675334490653282308959303230222256350351872681580147670899685012107,21903654,741350668981306564617918606460444512700703745363160295341799391927869,d-1,69,0.00696
224,741350668981306564617918606460444512700703745363160295341799391927869,41587692,1482701337962613129235837212920889025401407490726320590683598825443431,d-1,69,0.01298
225,1482701337962613129235837212920889025401407490726320590683598825443431,38929968,2965402675925226258471674425841778050802814981452641181367197689816831,d-1,70,0.01193
226,2965402675925226258471674425841778050802814981452641181367197689816831,213014478,5930805351850452516943348851683556101605629962905282362734395592648141,d+1,70,0.06410
227,5930805351850452516943348851683556101605629962905282362734395592648141,91153068,11861610703700905033886697703367112203211259925810564725468791276449351,d-1,70,0.02694
228,11861610703700905033886697703367112203211259925810564725468791276449351,34140636,23723221407401810067773395406734224406422519851621129450937582587039339,d+1,71,0.00991
