digits,t,d,side,norm4,model_mean,survival
20,78128590759310118887,606504,d-1,0.03603,779558.2,0.441865
20,34442974523944555169,204102,d-1,0.01309,294987.4,0.481153
20,54844859604368947271,1134966,d+1,0.06968,1149686.1,0.361308
20,63770391396265577789,771210,d-1,0.04669,656444.6,0.301847
20,50280025035564108227,1938192,d-1,0.11997,1764062.1,0.324785
20,44987617917347881637,1343202,d+1,0.08402,1235750.2,0.328515
20,77868011743405038941,73518,d-1,0.00437,1735554.6,0.944987
20,33613484780498963831,59106,d+1,0.00380,874061.4,0.917001
20,61332683978352866927,555852,d+1,0.03377,979717.6,0.543877
20,86101268253265185731,387858,d-1,0.02283,518620.6,0.455032
20,40427809291569774509,432390,both,0.02732,570913.2,0.451015
20,82398066920456470697,1360512,d-1,0.08042,1212105.2,0.317364
20,93154781858907535931,638046,d+1,0.03729,1240383.5,0.572659
20,81141705808807948721,546,d+1,0.00003,709349.0,0.998450
20,96148845874231241717,2548332,d+1,0.14848,1206557.7,0.126859
20,56113164079468267799,194430,d+1,0.01191,320392.0,0.523376
20,46272440500986638999,21660,d+1,0.00135,502837.5,0.944604
20,43250333500930254911,406398,d-1,0.02551,1658619.2,0.754883
20,27883081982422797899,33750,both,0.00221,229915.4,0.841140
20,24397454764766348579,191688,d+1,0.01271,378823.4,0.578234
20,40333116664188773639,81942,d+1,0.00518,424918.2,0.798640
20,26324693752327459661,4902918,d-1,0.32265,1054860.5,0.013367
20,17843236984812895037,847884,d-1,0.05792,634500.3,0.259340
20,29006404823812935791,1788,both,0.00012,311681.5,0.990960
20,24470771091167030291,80808,d+1,0.00536,706346.5,0.869572
20,58815479556450339419,180390,d+1,0.01100,546755.0,0.691401
20,47910573272206944137,64032,d+1,0.00398,745643.4,0.897984
20,88623491208236113067,3798732,d+1,0.22302,1116881.3,0.039822
20,39955396227933720491,301458,d+1,0.01907,487975.8,0.516729
20,57924355059812588729,701010,both,0.04282,423726.4,0.192781
20,41970303276770663321,3705918,d-1,0.23333,1307277.2,0.066154
20,31865221370602630181,555708,d-1,0.03591,1757055.9,0.700780
20,19947357007275202121,1735116,d+1,0.11726,625140.4,0.069812
30,422498360268833874653996293901,2139306,d+1,0.02340,6909671.4,0.708636
30,848132600328237761221397801447,3841914,d-1,0.04025,11026202.6,0.681391
30,915183691484114319846233633549,316050,d+1,0.00330,1691882.2,0.807356
30,916013403808737605368255493897,2205324,d-1,0.02299,4382409.3,0.582059
30,583726542161128796608883009909,4537770,d-1,0.04864,3508426.5,0.270434
30,796096424625136127250942098219,2011590,d+1,0.02115,2240223.4,0.395083
30,930435516534482827384842085649,1787868,d+1,0.01862,2261898.2,0.438620
30,574572632540690692014937914911,2458098,d-1,0.02638,8769265.4,0.730750
30,162951926200989618061697849459,262692,d+1,0.00305,2253608.7,0.870537
30,731594574998701322650238602517,1150404,d-1,0.01216,4485511.4,0.749186
30,391154672384849292063722385947,1976244,d-1,0.02172,3773761.3,0.570279
30,865165327074923478736481392289,298098,d+1,0.00312,2418029.2,0.864306
30,518242225215649719237498208739,19914222,d-1,0.21505,5271894.5,0.028084
30,883635855461991248314184663711,17287686,d+1,0.18064,11969812.6,0.234738
30,455300643621426123615071563967,30916644,d-1,0.33655,11464616.0,0.073905
30,913772760612052884507796297967,660792,d-1,0.00689,6339043.6,0.882274
30,960023299004241702657980295731,31851768,d-1,0.33113,6645637.9,0.011453
30,285627349988148781710650880989,154230,d-1,0.00173,2235415.5,0.918275
30,737918825503202297250502417949,5395062,d+1,0.05700,3322689.3,0.198320
30,215093078835019696937002012169,2142300,d-1,0.02444,3951570.7,0.559406
30,206442151293118782173396055017,8989782,d-1,0.10281,9333521.6,0.370901
30,326004772565768851904920629269,742458,d-1,0.00825,2907911.2,0.750373
30,964573635712682113259975484587,872532,d+1,0.00907,3928755.6,0.776850
30,499069948674442448148584279081,4944486,d+1,0.05352,9959961.5,0.586352
30,449642021412442721681977684829,743280,d-1,0.00810,5415218.5,0.850390
30,679042535056531132765205249759,12538812,d-1,0.13316,4651320.1,0.074107
30,940340950031423521287064000229,212898,d-1,0.00222,1811659.2,0.870043
30,123170721018476995665816529199,486342,d-1,0.00575,1981212.0,0.758208
30,735438769679928449765178352157,4161432,d+1,0.04398,5405794.0,0.447249
30,198944219254867039564049728607,2945484,d-1,0.03376,5895720.6,0.583943
30,766082363268851702065769498801,137358,d+1,0.00145,8137072.5,0.976700
30,911809173602270133877392198599,3280602,d+1,0.03421,3328764.3,0.363016
30,267372464649812532917306156357,665772,d+1,0.00749,4178006.4,0.830474
30,603284693918268142932047721971,415446,d+1,0.00444,4375575.4,0.891401
30,332411163178074666543263604689,3711018,d-1,0.04119,2646522.4,0.244080
30,522744727265027802455218087187,1373682,d+1,0.01483,4279219.9,0.700575
30,641666053099461860483573856479,815988,d+1,0.00870,2427592.0,0.690108
30,900419467098571843750760681861,21889758,d-1,0.22846,4872336.5,0.014800
30,347870229733807402007039647109,1350318,both,0.01495,2065394.6,0.501461
30,934175941556754479002743703517,3060852,d+1,0.03187,5327013.6,0.542129
